commit_id,Author,commit_dt,commit_msg,commit_dtl
d51969457,eom,2023-11-27 10:41:08,fix(공통): could not determine data type of parameter $8 오류 수정,
7e46a0cf1,WooChul,2023-11-27 09:05:26,fix : LogUti.info 추가(※삭제하면 운영에서 에러발생 지우면 안됨),
f03073b16,WooChul,2023-11-23 17:02:23,fix : 주석 수정,
733419273,WooChul,2023-11-23 17:01:00,fix : WebSquareConfig.java Null  체크 StringUtil 수정,
6e76407a9,WooChul,2023-11-22 15:42:14,feat : 로그찍기,
7a93a879d,WooChul,2023-11-22 13:10:23,fix : webSquareConfig.java 최신파일로 수정(엑셀다운로드 MaxRowCount 200000),
bfb749479,WooChul,2023-11-21 19:06:28,feat : DBCP => JNDI 설정 변경,
75574e136,WooChul,2023-11-21 17:50:29,feat : DBCP 기본설정 (JNDI 주석처리),
94ded1f9c,WooChul,2023-11-20 10:44:20,fix : 관리자 > 설문조사 > 이메일발송 안내문구 생성 중 단축URL 오류로 수정(비틀리 v4),
bfe70e4fc,WooChul,2023-11-17 16:08:45,feat : 사용자 > 정보마당 > 참여학교현황 > 계약학과 탭 엑셀다운로드 버튼 추가,
9b27d7654,WooChul,2023-11-16 14:35:46,fix : 테스트 console.log() 삭제,
8d5ff23f2,WooChul,2023-11-16 14:35:11,"fix : 인스웨이브 XSS 취약점 처리 중 pageURLPrefix type=""function"" 교체하고       getCrossFilterPath() 리턴받을때 기존 ""/sanhakin"" 붙여서 받는걸로 대체",
131b81133,WooChul,2023-11-16 10:37:09,feat : 인스웨이브 핫픽스 패치(한국인터넷진흥원 XSS취약점 조치),
5bb27c8d7,WooChul,2023-11-15 15:07:33,fix : 서비스요청관리 목록 그리드뷰 tooltipDisply 속성 True,
a718b863f,WooChul,2023-11-15 10:36:59,fix : 스케쥴러 채용정보 Delete & Inert 쿼리 삭제(프로시져로 대체),
89a8fbd99,WooChul,2023-11-14 13:28:26,fix : 스케쥴러 등록 현황 수정,
e88250f48,WooChul,2023-11-14 13:03:31,fix : 스케쥴러 등록 현황 수정,
951459a0f,WooChul,2023-11-14 12:58:10,fix : 스케쥴러 등록 현황 이메일주소 없음 건수 카운팅 추가,
c0e5a1b4d,WooChul,2023-11-14 12:33:11,fix : 스케쥴러 등록 현황 테이블 이메일없음 건수 컬럼 추가,
63ccc52d6,WooChul,2023-11-14 11:27:15,fix : 성과공유 만기도래 이메일발송 발송실패 카운팅 추가,
f334da836,WooChul,2023-11-14 11:22:05,fix : 주석 오류 수정,
b387389d0,WooChul,2023-11-14 10:35:21,fix : 성과공유 만기도래 메일발송 스케쥴러 수정,이메일주소 없는 기업은 WTB_SCHDPRC_STT 테이블 EMAIL_ABS_CNT 카운팅 처리
f89fdc953,WooChul,2023-11-14 10:10:22,delete : WorkNetTest(로컬테스트) 파일 삭제,
4e45f3fd7,eom,2023-11-14 10:05:04,fix(공통) : 참여기업 현행화 추출 및 insert 과정을 프로시져로 수정,
81933da06,WooChul,2023-11-10 14:36:49,feat : sanhakin-batch WorkNet.java 테스트 클래스 추가,
70c689d3b,WooChul,2023-11-10 13:48:59,feat : sanhakin-batch > WorkNet.java 테스트 클래스 추가,
e3b576b65,WooChul,2023-11-09 11:19:44,fix : 스케쥴러 현황 등록 코드설명 문구 수정 : 사업참여기업 현행화,
a2210a9e3,WooChul,2023-11-09 09:08:34,fix : 공통 스케쥴러 현황 등록 파라미터명 오타 수정,
d7a135b8b,WooChul,2023-11-08 10:51:52,fix : 공통 스케쥴러 현황 등록 쿼리 오타 수정,
3825edd2a,WooChul,2023-11-08 10:36:46,fix : 공통 스케쥴러 현황 등록 쿼리 오타 수정,
9c0984dab,WooChul,2023-11-08 09:44:47,fix : 정보마당 > 채용정보 > 사업참여기업 스케쥴러 신규등록 건수 있을대만 현황 등록,
6d53b22fb,WooChul,2023-11-08 09:30:21,fix : 공통 스케쥴러 현화 등록 메서드명 맞추기,
f1b36076e,WooChul,2023-11-08 09:00:16,fix : 공통 스케쥴러 현황 Insert 쿼리 오타 수정,
c51665a97,WooChul,2023-11-07 14:07:24,feat : 스케쥴러 실행시 현황 등록 로직 추가,
ee63569bd,WooChul,2023-11-07 13:56:40,fix : 정보마당 > 채용정보 등록 후 return Type(int) 수정,
47f18b9af,WooChul,2023-11-07 11:10:07,feat : 스케쥴러 처리 현황 등록,
6f64a4b56,WooChul,2023-11-06 16:13:04,feat : 신규업체 별도배정(저소득전형) 증빙서류(F등급) 쿼리 추가,
797ae0125,WooChul,2023-11-06 16:11:39,feat : 관리자 > 산업기능요원 > 병무청추천 > 읍/면/동 상세주소 나오게 수정,
0333f878e,WooChul,2023-11-06 15:02:40,style : .w2grid th nobr 만 padding 없애기,
19a581ccd,WooChul,2023-11-06 14:51:00,feat : 관리자 > 산업기능요원 > 병무청추천 > 신규업체 명부 > 읍명동 이하 주소 모두 나오게 수정,
6b452755c,eom,2023-11-03 14:42:05,"fix(공통): 서비스 요청 - 접수중인 서비스 요청 목록 ""신규"" 이미지 붙히기",
19932c0a5,eom,2023-11-03 13:54:35,fix(공통): 산업기능요원 증빙서류 (신규기업 'F'등급까지 첨부),
bd2a2474c,eom,2023-11-03 10:03:40,fix(공통):서비스요청 조회 수정,1.정렬 조건 추가
970f5ecee,eom,2023-11-03 09:54:24,remove:임시파일 삭제,
4a6990534,eom,2023-11-03 09:51:15,feat(산업기능요원):요청다운로드자료 항목별 쿼리 추가,
8efba8374,ohdon,2023-11-02 09:49:18,style(산업기능요원): 사용자> 신청조회 목록에서 추천등급 보이도록 수정,
bd3994c7d,WooChul,2023-10-31 15:03:41,fix : 메인화면 상단메뉴 Slide 오류 수정,
c570d545f,WooChul,2023-10-31 14:26:24,fix : 메인화면 상단메뉴 SlidDown() 조건없이 마우스커서 올리면 되게 수정,
45cdc9c18,WooChul,2023-10-31 13:28:02,fix :  공통코드 HTML  이스케이프 변환수정,
9a37ee4e5,WooChul,2023-10-31 09:47:14,style : 메인페이지 소메뉴 스타일변경,
7bd8cbd25,WooChul,2023-10-31 09:36:36,style : 메인페이지 메뉴 스타일 변경,
e1b83140b,WooChul,2023-10-30 17:40:05,style : 메인페이지 상단메뉴 스타일 수정,
8aa3e54ed,WooChul,2023-10-30 17:22:10,style : 메인페이지 상단메뉴 스타일 변경,
33fb6a94d,WooChul,2023-10-30 14:43:49,style : 메인페이지 탑 메뉴 스타일 변경(넓게),
5e80ebccc,WooChul,2023-10-30 14:42:49,style : 메인페이지 탑 스타일 변경,
24860b510,eom,2023-10-27 10:32:39,fix(공통): 서비스요청 SVC_REQ_ID type 변경 및 화면 조회 추가,
e35a27907,eom,2023-10-27 09:10:17,fix(공통):서비스요청 조회 초기값 변경,
26e59aabb,eom,2023-10-26 17:55:10,feat(공통) : 서비스요청 등록,
4143b9753,WooChul,2023-10-24 17:43:07,fix : 공통 HTML 태그 치환 수정,
2f68b4988,WooChul,2023-10-24 14:57:13,fix : wqCommons.js 공통 HTML 태그 치환 수정,
cbf2901f9,WooChul,2023-10-23 09:04:17,fix : 주택공급 파일업로드 filePath FileMngUtil.normalize() 감싸기,
5af56cb76,eom,2023-10-20 17:34:29,feat(공통) : 서비스요청 이미지 추가,
ac30dd5ff,eom,2023-10-20 17:32:16,fix(공통):연도 더하는 함수 수정,
6a1fcdb82,eom,2023-10-20 17:31:30,fix(공통):서비스 요청,저장 및 파일 업로드 수정
ed9d1542a,eom,2023-10-19 17:19:07,feat(공통) : 서비스요청 기능 추가,
279d1d4c9,eom,2023-10-13 13:23:11,feat : 서비스 요청 메뉴 최초 등록,
a7a4f909c,WooChul,2023-10-20 17:26:13,fix : 공통 파일업로드 경로 생성 수정,
d96aa3418,WooChul,2023-10-20 09:52:14,fix : 공통 파일업로드 오류수정,
d8627a55b,WooChul,2023-10-19 16:39:37,feat : 공통파일업로드 DB 입력 전 S3 정상업로드 확인하는 코드 추가,
f02d8d387,WooChul,2023-10-19 16:01:24,feat : 공통 파일업로드 서비스 추가,
b5744efa1,WooChul,2023-10-19 14:51:18,feat : 공통 파일업로드 추가,SQL 파일은 새로 만들지 말고 ComBiz_SQL.xml 받아서 쓰면 될듯
016eae8e4,WooChul,2023-10-18 17:11:10,fix : 사용자 > 계약학과 학생관리 > 기업정보 탭 수정,1.제출완료 전 현재 기준년월로 담당자 수정 가능
98b7bb700,WooChul,2023-10-18 14:49:10,사용자 > 1:1 문의등록시 회원정보 변조 확인 후 처리(웹취약점 보완),
3acec32c5,WooChul,2023-10-17 16:11:49,계약학과 학생관리 > 정부지원금 탭 > 그리드뷰 Height 조절,
f99f91a94,WooChul,2023-10-17 15:52:32,계약학과 학생관리 회사정보 없어도 넘어가게 원복,
9c98f523c,WooChul,2023-10-17 13:05:33,회원가입 수정,
10ff79ee9,WooChul,2023-10-17 12:47:45,"회원가입시 Valiation() 수정, 기업회원 대표자명 항목 추가",
b21c3f980,WooChul,2023-10-17 09:58:41,사용자 > 정보마당 > 인재육성형 지정기업 수정,
1f3e78b00,WooChul,2023-10-17 09:32:38,사용자 > 정보마당 > 인재육성형 지정기업 수정,
5d7f0a936,WooChul,2023-10-16 16:19:39,사용자 > 정보마당 > 인재육성형 지정기업 수정,
3cd699747,WooChul,2023-10-16 15:29:12,사용자 > 정보마당 > 인재육성형 지정기업 수정,
543088cc1,WooChul,2023-10-16 15:01:33,사용자 > 정보마당 > 인재육성형 지정기업 수정,
d7485fe3b,WooChul,2023-10-16 13:23:19,사용자 > 정보마당 > 인재육성형 지정기업,
0ecf67d2c,WooChul,2023-10-16 13:04:49,사용자 > 정보마당 > 인재육성형 지정기업 수정,
834a8af2a,WooChul,2023-10-16 10:56:29,사용자 > 정보마당 > 인재육성형지정기업 수정,
18a194c46,WooChul,2023-10-16 09:44:49,사용자 > 정보마당 > 인재육성형 지정기업 수정,
70e1badd4,WooChul,2023-10-12 16:02:51,계약학과 학생관리 수정,
ccc10e321,WooChul,2023-10-12 15:51:50,관리자 > 성과공유 조회 쿼리 수정,
012592837,WooChul,2023-10-12 15:29:33,계약학과 > 학생관리 > 기업정보 수정,
ec7145593,WooChul,2023-10-12 14:52:08,정보마당 > 인재육성형 지정기업 & 자료등록 쿼리 수정,
85a7444c3,WooChul,2023-10-12 09:30:18,권한관리 수정 원복,
56b398d01,WooChul,2023-10-11 15:54:18,Merge remote-tracking branch 'origin/develop',
4927076df,WooChul,2023-10-11 15:41:08,계약학과 학생관리 수정,
633443eec,WooChul,2023-10-11 15:27:47,계약학과 학생관리 수정,
f92f9f271,WooChul,2023-10-11 15:23:04,"계약학과 학생관리 담당자 정보(성명, 전화번호, 이메일) 추가",
2f73bb058,WooChul,2023-10-11 10:33:11,계약학과 & 기술사관 예산전용 신청현황 그리드뷰 정보 쿼리 수정,
bb84aca4c,WooChul,2023-10-11 08:54:24,기술사관 예산전용 신청현황 수정,
61d6c248b,WooChul,2023-10-05 17:47:31,관리자 > 계약학과 & 기술사관 > 예산전용 신청현황 > 승인취소시 문구수정,
0beda76b4,ohdon,2023-10-05 14:37:45,인재육성중소기업지정서RD 폰트 HY신명조로 변경,
8d80499b7,WooChul,2023-10-05 14:12:29,계약학과 & 기술사관 > 예산전용 신청현황 목록 화면 문구 수정,
e1d18b83f,ohdon,2023-10-05 14:04:33,인재육성형 중소기업 지정서 RD 디자인 수정,
1ffefe5bb,WooChul,2023-10-05 14:02:26,띄어쓰기 수정,
e2bbb8b4d,WooChul,2023-10-05 14:01:55,기술사관 & 계약학과 > 예산전용 신청현황 목록 화면 일괄 승인/승인취소 수정,
9ce59b373,WooChul,2023-10-05 11:22:50,계약학과 & 기술사관 > 예산전용 신청현황 > 수정 1.관리자 화면에서는 승인받지 않은 회차(금회전용) 금액은 나오지 않게 수정 2.기술사관 사업단명 WTB_TECH_BSNS_GRP 에서 가져오게 수정 3.사업연도 2023년 부터 나오게 수정,
309e6e7be,WooChul,2023-10-04 13:59:02,기술사관 > 예산전용 신청현황 > 그래드뷰 Class 수정,
c12c10e81,WooChul,2023-10-04 13:55:52,계약학과 & 기술사관 그리드뷰 Class & oddEvenColorDisplay 옵션 수정,
6c7627a58,WooChul,2023-10-04 11:30:12,계약학과 > 예산전용 신청현황 엑셀다운로드시 제목 띄어쓰기 표시,
5df051d60,WooChul,2023-09-27 14:33:04,사용자 > 계약학과 > 예산전용 신청현황 엑셀다운로드 타이틀 관리번호 추가,
557db79ed,WooChul,2023-09-27 14:27:13,사용자 > 기술사관 > 예산전용 신청현황 엑셀다운로드 체크,
6fba647b5,eom,2023-09-27 14:25:27,기술사관 참여기업현황,"-담당자 휴대전화, 이메일 추가"
d39eaa37a,WooChul,2023-09-27 14:20:52,사용자 > 기술사관 > 예산전용 신청현황 init() 전체 버튼 숨김,
30a44ce26,WooChul,2023-09-27 14:19:22,사용자 > 기술사관 > 예산전용 신청현황 삭제버튼 작성중일때만,
15db02bfd,WooChul,2023-09-27 14:14:05,수정,
3254a38a1,WooChul,2023-09-27 14:12:00,사용자 > 계약학과 > 예산전용 신청현황 엑셀다운로드 체크,
0c60efe2d,WooChul,2023-09-27 13:42:59,예산전용 신청현황 수정,
8ea879b5c,eom,2023-09-27 10:42:27,계약학과 학생관리 - 학적상태 및 의무근무 상태에 따라 회사정보 체크 수정,
