menu_id,file_id
MENU0000000178,SRC_002207
MENU0000000003,SRC_001875
MENU0000000200,SRC_001798
MENU0000000048,SRC_001617
MENU0000000053,SRC_001608
MENU0000000055,SRC_001596
MENU0000000056,SRC_001580
MENU0000000067,SRC_001635
MENU0000000073,SRC_001610
MENU0000000228,SRC_001851
MENU0000000241,SRC_001688
MENU0000000229,SRC_001845
MENU0000000231,SRC_001847
MENU0000000085,SRC_001580
MENU0000000086,SRC_001704
MENU0000000089,SRC_001716
MENU0000000077,SRC_001647
MENU0000000082,SRC_001580
MENU0000000092,SRC_001716
MENU0000000094,SRC_001727
MENU0000000096,SRC_001784
MENU0000000225,SRC_001709
MENU0000000098,SRC_001764
MENU0000000083,SRC_001687
MENU0000000108,SRC_001817
MENU0000000114,SRC_001825
MENU0000000115,SRC_001830
MENU0000000117,SRC_001835
MENU0000000119,SRC_001835
MENU0000000120,SRC_001835
MENU0000000126,SRC_001854
MENU0000000204,SRC_001927
MENU0000000111,SRC_001806
MENU0000000076,SRC_001580
MENU0000000218,SRC_002196
MENU0000000148,SRC_001999
MENU0000000156,SRC_002087
MENU0000000164,SRC_002143
MENU0000000131,SRC_001603
MENU0000000134,SRC_001870
MENU0000000167,SRC_002164
MENU0000000189,SRC_002114
MENU0000000277,SRC_001899
MENU0000000049,SRC_001614
MENU0000000205,SRC_001928
MENU0000000109,SRC_001819
MENU0000000068,SRC_001631
MENU0000000136,SRC_001890
MENU0000000127,SRC_001852
MENU0000000121,SRC_001835
MENU0000000118,SRC_001833
MENU0000000116,SRC_001832
MENU0000000087,SRC_001706
MENU0000000004,SRC_001874
MENU0000000090,SRC_001716
MENU0000000057,SRC_001579
MENU0000000054,SRC_001606
MENU0000000179,SRC_002197
MENU0000000149,SRC_001994
MENU0000000221,SRC_002176
MENU0000000093,SRC_001726
MENU0000000165,SRC_002137
MENU0000000227,SRC_002112
MENU0000000097,SRC_001783
MENU0000000135,SRC_001869
MENU0000000074,SRC_001612
MENU0000000243,SRC_001658
MENU0000000099,SRC_001744
MENU0000000242,SRC_001689
MENU0000000157,SRC_002090
MENU0000000132,SRC_001598
MENU0000000095,SRC_001763
MENU0000000209,SRC_001805
MENU0000000084,SRC_001679
MENU0000000260,SRC_001682
MENU0000000226,SRC_001709
MENU0000000251,SRC_001724
MENU0000000088,SRC_001705
MENU0000000091,SRC_001716
MENU0000000234,SRC_002004
MENU0000000100,SRC_001767
MENU0000000106,SRC_001791
MENU0000000110,SRC_001822
MENU0000000112,SRC_001823
MENU0000000128,SRC_001864
MENU0000000150,SRC_002000
MENU0000000158,SRC_002083
MENU0000000273,SRC_001637
MENU0000000166,SRC_002147
MENU0000000169,SRC_002170
MENU0000000180,SRC_002202
MENU0000000198,SRC_001871
MENU0000000005,SRC_001872
MENU0000000176,SRC_002179
MENU0000000137,SRC_001881
MENU0000000058,SRC_001581
MENU0000000248,SRC_001709
MENU0000000075,SRC_001627
MENU0000000222,SRC_001711
MENU0000000261,SRC_001686
MENU0000000223,SRC_001709
MENU0000000253,SRC_001725
MENU0000000151,SRC_001995
MENU0000000267,SRC_001816
MENU0000000249,SRC_001776
MENU0000000159,SRC_002109
MENU0000000259,SRC_001673
MENU0000000113,SRC_001824
MENU0000000265,SRC_001797
MENU0000000266,SRC_001720
MENU0000000129,SRC_001856
MENU0000000238,SRC_002119
MENU0000000139,SRC_001884
MENU0000000219,SRC_002185
MENU0000000140,SRC_001873
MENU0000000232,SRC_002142
MENU0000000233,SRC_001590
MENU0000000170,SRC_002169
MENU0000000071,SRC_001633
MENU0000000152,SRC_001996
MENU0000000254,SRC_002116
MENU0000000160,SRC_002031
MENU0000000171,SRC_002160
MENU0000000177,SRC_002186
MENU0000000252,SRC_001772
MENU0000000237,SRC_001582
MENU0000000138,SRC_001896
MENU0000000130,SRC_001862
MENU0000000262,SRC_001680
MENU0000000269,SRC_001722
MENU0000000268,SRC_001671
MENU0000000214,SRC_001866
MENU0000000172,SRC_002175
MENU0000000246,SRC_001862
MENU0000000274,SRC_001667
MENU0000000161,SRC_002032
MENU0000000244,SRC_001657
MENU0000000153,SRC_001998
MENU0000000264,SRC_001651
MENU0000000173,SRC_002154
MENU0000000154,SRC_001997
MENU0000000250,SRC_001653
MENU0000000162,SRC_002103
MENU0000000255,SRC_001630
MENU0000000065,SRC_001626
MENU0000000276,SRC_002151
MENU0000000155,SRC_002001
MENU0000000066,SRC_001589
MENU0000000163,SRC_002096
MENU0000000256,SRC_001651
MENU0000000174,SRC_002152
MENU0000000247,SRC_001623
MENU0000000183,SRC_002010
MENU0000000239,SRC_001993
MENU0000000257,SRC_001646
MENU0000000270,SRC_001629
MENU0000000184,SRC_002011
MENU0000000185,SRC_002012
MENU0000000224,SRC_002009
MENU0000000186,SRC_002072
MENU0000000187,SRC_002108
MENU0000000230,SRC_002029
MENU0000000245,SRC_002020
MENU0000000271,SRC_002017
MENU0000000190,SRC_002234
MENU0000000263,SRC_002129
MENU0000000272,SRC_002124
MENU0000000057,SRC_001639
MENU0000000057,SRC_001621
MENU0000000057,SRC_001661
MENU0000000057,SRC_001692
MENU0000000057,SRC_001638
MENU0000000057,SRC_001620
MENU0000000057,SRC_001659
MENU0000000057,SRC_001691
MENU0000000057,SRC_001969
MENU0000000056,SRC_001969
MENU0000000085,SRC_001969
MENU0000000082,SRC_001969
MENU0000000076,SRC_001969
MENU0000000056,SRC_001639
MENU0000000085,SRC_001639
MENU0000000082,SRC_001639
MENU0000000076,SRC_001639
MENU0000000056,SRC_001621
MENU0000000085,SRC_001621
MENU0000000082,SRC_001621
MENU0000000076,SRC_001621
MENU0000000056,SRC_001660
MENU0000000085,SRC_001660
MENU0000000082,SRC_001660
MENU0000000076,SRC_001660
MENU0000000056,SRC_001661
MENU0000000085,SRC_001661
MENU0000000082,SRC_001661
MENU0000000076,SRC_001661
MENU0000000056,SRC_001690
MENU0000000085,SRC_001690
MENU0000000082,SRC_001690
MENU0000000076,SRC_001690
MENU0000000056,SRC_001692
MENU0000000085,SRC_001692
MENU0000000082,SRC_001692
MENU0000000076,SRC_001692
MENU0000000058,SRC_001639
MENU0000000058,SRC_001621
MENU0000000058,SRC_001661
MENU0000000058,SRC_001692
MENU0000000058,SRC_001640
MENU0000000058,SRC_001622
MENU0000000058,SRC_001664
MENU0000000058,SRC_001694
MENU0000000058,SRC_001969
MENU0000000237,SRC_001583
MENU0000000066,SRC_001639
MENU0000000066,SRC_001621
MENU0000000066,SRC_001661
MENU0000000066,SRC_001692
MENU0000000066,SRC_001643
MENU0000000066,SRC_001628
MENU0000000066,SRC_001670
MENU0000000066,SRC_001697
MENU0000000066,SRC_001969
MENU0000000055,SRC_001597
MENU0000000132,SRC_001599
MENU0000000131,SRC_001602
MENU0000000054,SRC_001605
MENU0000000053,SRC_001607
MENU0000000073,SRC_001609
MENU0000000074,SRC_001611
MENU0000000049,SRC_001613
MENU0000000048,SRC_001616
MENU0000000048,SRC_001615
MENU0000000065,SRC_001969
MENU0000000065,SRC_001621
MENU0000000065,SRC_001625
MENU0000000065,SRC_001624
MENU0000000270,SRC_001983
MENU0000000270,SRC_001984
MENU0000000067,SRC_001634
MENU0000000273,SRC_001636
MENU0000000250,SRC_001652
MENU0000000244,SRC_001656
MENU0000000274,SRC_001666
MENU0000000268,SRC_001672
MENU0000000261,SRC_001685
MENU0000000241,SRC_001676
MENU0000000241,SRC_001689
MENU0000000242,SRC_001688
MENU0000000225,SRC_001710
MENU0000000226,SRC_001710
MENU0000000248,SRC_001710
MENU0000000223,SRC_001710
MENU0000000222,SRC_001710
MENU0000000089,SRC_001718
MENU0000000092,SRC_001718
MENU0000000090,SRC_001718
MENU0000000091,SRC_001718
MENU0000000089,SRC_001723
MENU0000000092,SRC_001723
MENU0000000090,SRC_001723
MENU0000000091,SRC_001723
MENU0000000099,SRC_001745
MENU0000000098,SRC_001765
MENU0000000100,SRC_001768
MENU0000000252,SRC_001770
MENU0000000252,SRC_001771
MENU0000000106,SRC_001792
MENU0000000200,SRC_001799
MENU0000000200,SRC_001796
MENU0000000200,SRC_001807
MENU0000000111,SRC_001807
MENU0000000114,SRC_001828
MENU0000000115,SRC_001831
MENU0000000118,SRC_001834
MENU0000000117,SRC_001836
MENU0000000119,SRC_001836
MENU0000000120,SRC_001836
MENU0000000121,SRC_001836
MENU0000000229,SRC_001844
MENU0000000229,SRC_001843
MENU0000000229,SRC_001842
MENU0000000229,SRC_001846
MENU0000000229,SRC_001849
MENU0000000228,SRC_001849
MENU0000000228,SRC_001848
MENU0000000127,SRC_001853
MENU0000000126,SRC_001954
MENU0000000129,SRC_001855
MENU0000000130,SRC_002111
MENU0000000246,SRC_002111
MENU0000000130,SRC_001863
MENU0000000246,SRC_001863
MENU0000000128,SRC_001865
MENU0000000134,SRC_001601
MENU0000000137,SRC_001882
MENU0000000137,SRC_001880
MENU0000000139,SRC_001829
MENU0000000136,SRC_001891
MENU0000000204,SRC_001932
MENU0000000205,SRC_001932
MENU0000000205,SRC_001920
MENU0000000239,SRC_001957
MENU0000000149,SRC_002217
MENU0000000234,SRC_002005
MENU0000000224,SRC_002008
MENU0000000183,SRC_002117
MENU0000000183,SRC_002122
MENU0000000183,SRC_002123
MENU0000000183,SRC_002016
MENU0000000183,SRC_002024
MENU0000000183,SRC_002025
MENU0000000184,SRC_002117
MENU0000000184,SRC_002122
MENU0000000184,SRC_002123
MENU0000000184,SRC_002016
MENU0000000184,SRC_002024
MENU0000000184,SRC_002025
MENU0000000271,SRC_002018
MENU0000000245,SRC_002021
MENU0000000245,SRC_002015
MENU0000000230,SRC_002028
MENU0000000230,SRC_002027
MENU0000000230,SRC_002026
MENU0000000230,SRC_002030
MENU0000000160,SRC_002032
MENU0000000160,SRC_002034
MENU0000000161,SRC_001758
MENU0000000161,SRC_002062
MENU0000000161,SRC_002033
MENU0000000161,SRC_002031
MENU0000000186,SRC_002071
MENU0000000186,SRC_002069
MENU0000000158,SRC_002073
MENU0000000156,SRC_002088
MENU0000000156,SRC_002095
MENU0000000156,SRC_002089
MENU0000000157,SRC_002091
MENU0000000157,SRC_002095
MENU0000000157,SRC_002092
MENU0000000163,SRC_002099
MENU0000000163,SRC_002098
MENU0000000162,SRC_002101
MENU0000000162,SRC_002099
MENU0000000187,SRC_002107
MENU0000000159,SRC_001955
MENU0000000159,SRC_002106
MENU0000000227,SRC_002111
MENU0000000189,SRC_002113
MENU0000000254,SRC_002115
MENU0000000272,SRC_002125
MENU0000000263,SRC_002127
MENU0000000263,SRC_002128
MENU0000000263,SRC_002120
MENU0000000263,SRC_002130
MENU0000000165,SRC_002138
MENU0000000165,SRC_002140
MENU0000000232,SRC_002141
MENU0000000164,SRC_002144
MENU0000000164,SRC_002146
MENU0000000166,SRC_002148
MENU0000000166,SRC_002150
MENU0000000174,SRC_001971
MENU0000000171,SRC_002158
MENU0000000171,SRC_002161
MENU0000000167,SRC_002111
MENU0000000167,SRC_002162
MENU0000000167,SRC_002165
MENU0000000167,SRC_002163
MENU0000000170,SRC_002166
