"menu_id","menu_url"
MENU0000000139,/wqxml/adm/99sysMng/ptlMng/cnvncSurveyDetl.xml
MENU0000000181,/wqxml/usr/30wfsCntr/wfsJbofEnpInfo.xml
MENU0000000182,/wqxml/usr/30wfsCntr/wfsJbofPrgrSttn.xml
MENU0000000183,/wqxml/usr/20aply/cmn/bizAplyCltg.xml
MENU0000000184,/wqxml/usr/20aply/cmn/bizAplySttn.xml
MENU0000000185,/wqxml/usr/20aply/cmn/bizSelSttn.xml
MENU0000000186,/wqxml/usr/20aply/schlNws/schlNwsSttn.xml
MENU0000000187,/wqxml/usr/20aply/spclhs/bizPrtcInsnList.xml
MENU0000000188,/wqxml/usr/20aply/spclhs/bestStdnSttn.xml
MENU0000000200,/wqxml/adm/50smebsc/bizMng/bscBizNewUpldAtflSttn.xml
MENU0000000198,/wqxml/adm/99sysMng/logMng/sysUsrHistMng.xml
MENU0000000005,/wqxml/adm/99sysMng/menuMng/byAuthorMenuMng.xml
MENU0000000003,/wqxml/adm/99sysMng/menuMng/menuMng.xml
MENU0000000004,/wqxml/adm/99sysMng/menuMng/menuAuthorMng.xml
MENU0000000136,/wqxml/adm/99sysMng/ptlMng/popupPageInqr.xml
MENU0000000189,/wqxml/usr/20aply/spclhs/jobStdnSttn.xml
MENU0000000190,/wqxml/usr/99mbr/spctrAplyTitle.xml
MENU0000000178,/wqxml/usr/70notc/useStpl.xml
MENU0000000179,/wqxml/usr/70notc/indvInfoStpl.xml
MENU0000000176,/wqxml/usr/60prtc/faq/faqSttn.xml
MENU0000000177,/wqxml/usr/60prtc/ooQstn/ooQstnSttn.xml
MENU0000000137,/wqxml/adm/99sysMng/ptlMng/bnrPageInqr.xml
MENU0000000138,/wqxml/adm/99sysMng/ptlMng/resultPwQstn.xml
MENU0000000048,/wqxml/adm/10bizMng/reg/bizSttn.xml
MENU0000000049,/wqxml/adm/10bizMng/reg/bizNotcSttn.xml
MENU0000000050,/wqxml/adm/10bizMng/dbMng/stdnRegSttn.xml
MENU0000000051,/wqxml/adm/10bizMng/dbMng/joinEnpSttn.xml
MENU0000000052,/wqxml/adm/10bizMng/dbMng/bestStdnSttn.xml
MENU0000000053,/wqxml/adm/10bizMng/ntthMng/schlNwsMng.xml
MENU0000000054,/wqxml/adm/10bizMng/ntthMng/intrrtViolTSttn.xml
MENU0000000055,/wqxml/adm/10bizMng/hmpyLinkMng/hmpyLinkMngWhl.xml
MENU0000000056,/wqxml/adm/10bizMng/bizAply/aplyAcptSttn.xml
MENU0000000057,/wqxml/adm/10bizMng/bizAply/accnSrvySttn.xml
MENU0000000058,/wqxml/adm/10bizMng/bizAply/selEvalSttn.xml
MENU0000000059,/wqxml/adm/10bizMng/bizMng/bizcsDfntSttn.xml
MENU0000000060,/wqxml/adm/10bizMng/bizMng/bizBscsSttn.xml
MENU0000000062,/wqxml/adm/10bizMng/bizMng/bizcsEctnSttn.xml
MENU0000000063,/wqxml/adm/10bizMng/bizMng/bizcsExclSttn.xml
MENU0000000064,/wqxml/adm/10bizMng/bizMng/rptdRvwSttn.xml
MENU0000000065,/wqxml/adm/20spclhs/bizMng/jobCstmClsAdmSttn.xml
MENU0000000066,/wqxml/adm/10bizMng/bizMng/otcmEvalSttn.xml
MENU0000000067,/wqxml/adm/20spclhs/statSttn/spclhsRsltIndx.xml
MENU0000000069,/wqxml/adm/20spclhs/statSttn/bizcsSttn.xml
MENU0000000070,/wqxml/adm/20spclhs/statSttn/prgmAdmSttn.xml
MENU0000000071,/wqxml/adm/20spclhs/statSttn/spclhsMnpwTrnn.xml
MENU0000000073,/wqxml/adm/10bizMng/poolMng/JoinEnpPoolSttn.xml
MENU0000000075,/wqxml/adm/20spclhs/bizMng/jobStdnSttn.xml
MENU0000000222,/wqxml/adm/24bizofc/bizofcSttn.xml
MENU0000000223,/wqxml/adm/24bizofc/bizofcCmnSttn.xml
MENU0000000228,/wqxml/adm/80hssppl/hsspplSttn.xml
MENU0000000237,/wqxml/adm/10bizMng/bizDvr/budgetDvrRqstSttn.xml
MENU0000000226,/wqxml/adm/24bizofc/bizofcCmnSttn.xml
MENU0000000229,/wqxml/adm/80hssppl/hsspplAsgnSttn.xml
MENU0000000231,/wqxml/adm/80hssppl/hsspplPrgrSttn.xml
MENU0000000232,/wqxml/usr/40anns/bizNotc/hsspplCltgSttn.xml
MENU0000000233,/wqxml/adm/10bizMng/dbMng/budgetDvrMstrSttn.xml
MENU0000000224,/wqxml/usr/20aply/bizofc/bizofcAplySttn.xml
MENU0000000089,/wqxml/adm/30smehrd/bizMng/hrdAplyAcptSttn.xml
MENU0000000090,/wqxml/adm/30smehrd/bizMng/hrdAplyAcptSttn.xml
MENU0000000091,/wqxml/adm/30smehrd/bizMng/hrdAplyAcptSttn.xml
MENU0000000077,/wqxml/adm/21cndept/newStatSttn/newStdnRectSttn.xml
MENU0000000078,/wqxml//adm/21cndept/newStatSttn/StdnSttn.xml
MENU0000000079,/wqxml/adm/21cndept/newStatSttn/degrAcqsSttn.xml
MENU0000000080,/wqxml/adm/21cndept/newStatSttn/mdwyDvtrOcrnSttn.xml
MENU0000000081,/wqxml/adm/21cndept/newStatSttn/enpCtlg.xml
MENU0000000082,/wqxml/adm/10bizMng/bizAply/aplyAcptSttn.xml
MENU0000000092,/wqxml/adm/30smehrd/bizMng/hrdAplyAcptSttn.xml
MENU0000000093,/wqxml/adm/30smehrd/statSttn/hrdPrgrSttn.xml
MENU0000000094,/wqxml/adm/31idtcag/bizMng/idtcagAplyAcptSttn.xml
MENU0000000096,/wqxml/adm/31idtcag/statSttn/whlWch.xml
MENU0000000097,/wqxml/adm/31idtcag/statSttn/prgrSttn.xml
MENU0000000085,/wqxml/adm/10bizMng/bizAply/aplyAcptSttn.xml
MENU0000000074,/wqxml/adm/10bizMng/poolMng/SpctrPoolSttn.xml
MENU0000000239,/wqxml/usr/10intd/intdBizAwaimp.xml
MENU0000000225,/wqxml/adm/24bizofc/bizofcCmnSttn.xml
MENU0000000234,/wqxml/usr/20aply/bizDvr/budgetDvrSttn.xml
MENU0000000243,/wqxml/adm/21cndept/stdnMng/stdnMngSchdl.xml
MENU0000000241,/wqxml/adm/22techo/statSttn/workExpnsBudgetMng.xml
MENU0000000086,/wqxml/adm/23eict/statSttn/eictPartStdnStat.xml
MENU0000000087,/wqxml/adm/23eict/statSttn/joinEnp.xml
MENU0000000088,/wqxml/adm/23eict/statSttn/eictWorkExpnsStat.xml
MENU0000000098,/wqxml/adm/31idtcag/bizMng/idtcagOnlineEvidence.xml
MENU0000000099,/wqxml/adm/31idtcag/bizMng/idtcagAppntEnts.xml
MENU0000000101,/wqxml/adm/40wfsCntr/wfsAplySttn.xml
