xml_url,inXml
/wqxml/adm/AdmLeftNavTemplate.xml,/wqxml/adm/99sysMng/ptlMng/mainPageSetInqr.xml
/wqxml/adm/AdmTopTemplate.xml,/wqxml/cmn/menu/MAIN.xml
/wqxml/adm/AdmTopTemplate.xml,/wqxml/adm/99sysMng/serviceRqst/svrRqstSttn.xml
/wqxml/adm/Main.xml,/wqxml/adm/AdmTopTemplate.xml
/wqxml/adm/Main.xml,/wqxml/adm/Footer.xml
/wqxml/adm/10bizMng/bizAply/accnSrvySttn.xml,/wqxml/adm/21cndept/bizAply/cndeptBizAplyInfo.xml
/wqxml/adm/10bizMng/bizAply/accnSrvySttn.xml,/wqxml/adm/20spclhs/bizAply/spclhsBizAplyInfo.xml
/wqxml/adm/10bizMng/bizAply/accnSrvySttn.xml,/wqxml/adm/22techo/bizAply/techoBizAplyInfo.xml
/wqxml/adm/10bizMng/bizAply/accnSrvySttn.xml,/wqxml/adm/23eict/bizAply/eictBizAplyInfo.xml
/wqxml/adm/10bizMng/bizAply/accnSrvySttn.xml,/wqxml/adm/21cndept/bizAply/cndeptAccnSrvyReg.xml
/wqxml/adm/10bizMng/bizAply/accnSrvySttn.xml,/wqxml/adm/20spclhs/bizAply/spclhsAccnSrvyReg.xml
/wqxml/adm/10bizMng/bizAply/accnSrvySttn.xml,/wqxml/adm/22techo/bizAply/techoAccnSrvyReg.xml
/wqxml/adm/10bizMng/bizAply/accnSrvySttn.xml,/wqxml/adm/23eict/bizAply/eictAccnSrvyReg.xml
/wqxml/adm/10bizMng/bizAply/accnSrvySttn.xml,/wqxml/cmn/popup/mbrInqr.xml
/wqxml/adm/10bizMng/bizAply/aplyAcptSttn.xml,/wqxml/cmn/popup/mbrInqr.xml
/wqxml/adm/10bizMng/bizAply/aplyAcptSttn.xml,/wqxml/adm/21cndept/bizAply/cndeptBizAplyInfo.xml
/wqxml/adm/10bizMng/bizAply/aplyAcptSttn.xml,/wqxml/adm/20spclhs/bizAply/spclhsBizAplyInfo.xml
/wqxml/adm/10bizMng/bizAply/aplyAcptSttn.xml,/wqxml/adm/22techo/bizAply/techoBizAply.xml
/wqxml/adm/10bizMng/bizAply/aplyAcptSttn.xml,/wqxml/adm/22techo/bizAply/techoBizAplyInfo.xml
/wqxml/adm/10bizMng/bizAply/aplyAcptSttn.xml,/wqxml/adm/23eict/bizAply/edinspBizAplyInfo.xml
/wqxml/adm/10bizMng/bizAply/aplyAcptSttn.xml,/wqxml/adm/23eict/bizAply/eictBizAplyInfo.xml
/wqxml/adm/10bizMng/bizAply/selEvalSttn.xml,/wqxml/adm/21cndept/bizAply/cndeptBizAplyInfo.xml
/wqxml/adm/10bizMng/bizAply/selEvalSttn.xml,/wqxml/adm/20spclhs/bizAply/spclhsBizAplyInfo.xml
/wqxml/adm/10bizMng/bizAply/selEvalSttn.xml,/wqxml/adm/22techo/bizAply/techoBizAplyInfo.xml
/wqxml/adm/10bizMng/bizAply/selEvalSttn.xml,/wqxml/adm/23eict/bizAply/eictBizAplyInfo.xml
/wqxml/adm/10bizMng/bizAply/selEvalSttn.xml,/wqxml/adm/21cndept/bizAply/cndeptSelEvalReg.xml
/wqxml/adm/10bizMng/bizAply/selEvalSttn.xml,/wqxml/adm/20spclhs/bizAply/spclhsSelEvalReg.xml
/wqxml/adm/10bizMng/bizAply/selEvalSttn.xml,/wqxml/adm/22techo/bizAply/techoSelEvalReg.xml
/wqxml/adm/10bizMng/bizAply/selEvalSttn.xml,/wqxml/adm/23eict/bizAply/eictSelEvalReg.xml
/wqxml/adm/10bizMng/bizAply/selEvalSttn.xml,/wqxml/cmn/popup/mbrInqr.xml
/wqxml/adm/10bizMng/bizDvr/budgetDvrRqstSttn.xml,/wqxml/adm/10bizMng/bizDvr/budgetDvrRqstSttnDetl.xml
/wqxml/adm/10bizMng/bizDvr/budgetDvrRqstSttnDetl.xml,/wqxml/adm/10bizMng/bizDvr/budgetDvrRqstSttn.xml
/wqxml/adm/10bizMng/bizMng/bizAgrmSttn.xml,/wqxml/adm/21cndept/bizAply/cndeptBizAplyInfo.xml
/wqxml/adm/10bizMng/bizMng/bizAgrmSttn.xml,/wqxml/adm/20spclhs/bizAply/spclhsBizAplyInfo.xml
/wqxml/adm/10bizMng/bizMng/bizAgrmSttn.xml,/wqxml/adm/22techo/bizAply/techoBizAplyInfo.xml
/wqxml/adm/10bizMng/bizMng/bizAgrmSttn.xml,/wqxml/adm/23eict/bizAply/eictBizAplyInfo.xml
/wqxml/adm/10bizMng/bizMng/bizAgrmSttn.xml,/wqxml/adm/21cndept/bizMng/cndeptBizAgrmInfo.xml
/wqxml/adm/10bizMng/bizMng/bizAgrmSttn.xml,/wqxml/adm/22techo/bizMng/techoBizAgrmInfo.xml
/wqxml/adm/10bizMng/bizMng/bizAgrmSttn.xml,/wqxml/adm/23eict/bizMng/eictBizAgrmInfo.xml
/wqxml/adm/10bizMng/bizMng/bizAgrmSttn.xml,/wqxml/cmn/popup/mbrInqr.xml
